imdbId,title,tags
tt0301179,deewaanapan,"romance drama arjunrampal diamirza vinodkhanna ompuri ashutrikha suraj saxena (arjun rampal) lives in a remote hill station in india with his dad (om puri), mom (smita jaykar), and sister, asha (amita nangia). one day he meets with kiran choudhary (diya mirza), who has come on holiday trip with a group of girls. he offers to show her around and they fall in love with each other. suraj is unable to see her home by the train as his dad has chest pains and has to be rushed to hospital. but suraj is unable to get kiran out of his mind and heart. after his sister get's married, the family decide to relocate to bombay, where suraj enlists in college and makes several new friends, as well as becomes a popular football player. he eventually meets kiran and both renew their romance."
tt0301240,moksha: salvation,"drama thriller arjunrampal manishakoirala kalpanapandit sureshoberoi ashokmehta a young law student finds his strongly held ideals clashing with the work he has to undertake, leading to a crisis of confidence in this 2001 bollywood feature from director ashok mehta."
tt0301250,tera mera saath rahen,"drama ajaydevgn sonalibendre namratashirodkar premchopra maheshmanjrekar raj dixit lives with his younger brother, rahul, who is disabled, both mentally and physically, from birth. raj is also employed full-time, and after work, has the responsibility of looking after rahul, which leaves him no time for himself. his beautiful neighbor, suman gupta, is attracted to him, but he regards her as a friend only. when mr. khanna introduces him to his niece, madhuri, both instantly falls in love. the only problem is that madhuri will only marry raj, if rahul is institutionalized. raj agrees to get him admitted in a facility, much to madhuri's delight, and together they start to plan their marriage, not realizing that things are going to take a turn for the worse."
tt0302524,ehsaas: the feeling,drama anandrajanand sunidhichauhan nageshhaldankar shaktikapoor maheshmanjrekar 
tt0303187,veer savarkar,"biography drama shailendragaur pankajberry tomalter hemantbirje vedrahi from his years as a student in england to his return to india and his involvement in the indian independence struggle, the journey of freedom fighter and reformer vinayak damodar savarkar, better known as veer savarkar."
tt0305173,aamdani atthanni kharcha rupaiya,"comedy govinda juhichawla tabu chandrachursingh k.raghavendrarao a.s.ravindrababu jhoomri and her husband, bhimsha, move into a new neighbourhood. their immediate neighbours are three squabbling couples, namely vijay and anjali who are newly married; appu khote and vimla, who are married and have 4 children; and ravi and meena, who are also married and have one child. with their wages unable to keep up with inflation and high cost of living, unable to pay even rent to the landlord, b.k. kakkad, the wives decide to seek employment to augment their income, with hilarious results from their spouses, who will go to any extent to keep their wives at home, even if means to bring a dancing girl home to cook and look after the children!!"
tt0305455,pitaah,"action drama sanjaydutt nanditadas sachinkhedekar tanvihegde maheshmanjrekar a small town in rural india gets to witness a confrontation between two fathers - one a rich, powerful, influential, and cruel zamindar thakur avadh narayan singh - who wants the man who filed a police complaint against his two sons to be killed immediately. and the other is rudra, a poor laborer employed by avadh, who wants justice when he finds out that his nine year old daughter, durga, has been beaten and brutally raped by avadh's sons, bachhu, and bhola. amidst this background we have a corrupt doctor, who is willing to change his medical report after he is bribed appropriately; and a police inspector, ramnarayan bhardwaj, who is willing to drop any charges against avadh's sons provided he gets his ""dues"" from the thakur."
tt0306434,aankhen,"comedy thriller crime amitabhbachchan akshaykumar sushmitasen arjunrampal vipulamrutlalshah after his hatred of dishonesty costs him his job, an embittered man goes over to the dark side and plots to rob the bank he once managed."
tt0306840,koi mere dil se poochhe,"musical romance thriller jayabhaduri aftabshivdasani sanjaykapoor julietalburque vinayshukla dress designer, aman puri (aftab shivdasani) is the only son of the puri family. his dad (anupam kher) wants him to marry, but aman insists that he will not marry unless he meets the girl of his dreams. he does meet her, in the form and person of esha singh (esha deol), but she will not have anything to do with him. when aman persists, his dad decides to go and talk with esha's mom, mansi devi (jaya bhaduri), who indicates that she is open to esha's marriage with aman. she talks to esha and convinces her aman is suitable for her, to which esha agrees. delighted aman gets ready for the marriage, when dushant (sanjay kapoor) disrupts their lives by claiming that the entire marriage is a hoax, people are not what they seem, mansi devi is his mother; and esha is a married woman; and dushant is her husband."
tt0306855,style,"musical comedy sharmanjoshi sahilkhan riyasen shillpisharma n.chandra chantu and bantu are a couple of scam-artists trying to woo rich girls for easy money. in the process, they get embroiled in a murder case and become the prime suspects."
